node_id,node_type,name,title_canonical,ai_type,job_family,posted_month,origine,source,famille,stage,focus
job_glassdoor_ma_1010134452633,Job,,CRM Analyst,non-ai,OTHER,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010134453269,Job,,Ingénieur Data Scientist F-H,ml-first,DATA_SCIENTIST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010134648919,Job,,**Nous Recrutons Pour Notre Client Dans Le Secteur Bancaire Un(e) Data Scientist Senior**,ml-first,DATA_SCIENTIST,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010134770910,Job,,AI Python Developer – Trading & Market Analysis SaaS (Remote),ml-first,OTHER,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010134790285,Job,,Data Engineer,ai-first,DATA_ENGINEER,2026-05,Maroc,glassdoor-ma,,,
job_glassdoor_ma_1010134794972,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-05,Maroc,glassdoor-ma,,,
job_indeed_ma_9199992ed81408bd,Job,,Data Analyst Junior,ml-first,DATA_ANALYST,2022-08,Maroc,indeed-ma,,,
job_indeed_ma_b4badc2d01fa4b3d,Job,,Data Analyste- H/F/X,non-ai,OTHER,2023-04,Maroc,indeed-ma,,,
job_indeed_ma_f9b50f1f820586db,Job,,Data Analyst,ml-first,DATA_ANALYST,2023-04,Maroc,indeed-ma,,,
job_indeed_ma_6d1ba1cbaab79249,Job,,CONSULTANT DATA ANALYSTE -,non-ai,OTHER,2023-09,Maroc,indeed-ma,,,
job_indeed_ma_17240d557883f2f0,Job,,Data Quality Analyst Finance,non-ai,OTHER,2023-10,Maroc,indeed-ma,,,
job_indeed_ma_6462211066f0aa37,Job,,FP&A Data Analyst,non-ai,DATA_ANALYST,2023-10,Maroc,indeed-ma,,,
job_indeed_ma_8aae54b3e2c0befe,Job,,Data Analyst Junior - Casablanca - 2023,ml-first,DATA_ANALYST,2023-11,Maroc,indeed-ma,,,
job_indeed_ma_4aa703496025d131,Job,,Analyst - Data,non-ai,OTHER,2023-12,Maroc,indeed-ma,,,
job_indeed_ma_61f5972af33c5f2d,Job,,Data Analyst Confirmé H/f - Offre D’emploi CDI,non-ai,DATA_ANALYST,2023-12,Maroc,indeed-ma,,,
job_indeed_ma_916ac593fc8180d7,Job,,Data Analyst & Project Coordinator,non-ai,DATA_ANALYST,2023-12,Maroc,indeed-ma,,,
job_indeed_ma_00ee6e294df8aa40,Job,,IT Data Analyst,non-ai,DATA_ANALYST,2024-01,Maroc,indeed-ma,,,
job_indeed_ma_807a04cd67f826c0,Job,,Data Analyst - X Delivery,non-ai,DATA_ANALYST,2024-01,Maroc,indeed-ma,,,
job_indeed_ma_b91eb8d2b5227006,Job,,Quantitative Risk Analyst / Data Analyst,non-ai,DATA_ANALYST,2024-01,Maroc,indeed-ma,,,
job_indeed_ma_50eddf3088236397,Job,,Full Stack Intern,non-ai,OTHER,2024-02,Maroc,indeed-ma,,,
job_indeed_ma_8a1a440d296a708c,Job,,Data Engineer Intern,ml-first,DATA_ENGINEER,2024-02,Maroc,indeed-ma,,,
job_indeed_ma_347c148cd7ed8182,Job,,Data Analyst,non-ai,DATA_ANALYST,2024-03,Maroc,indeed-ma,,,
job_indeed_ma_0cf8125845f9753f,Job,,Data Analyst,non-ai,DATA_ANALYST,2024-04,Maroc,indeed-ma,,,
job_indeed_ma_12224f85573e3b57,Job,,Business / Data Analyst,non-ai,DATA_ANALYST,2024-04,Maroc,indeed-ma,,,
job_indeed_ma_496c3a970c83d794,Job,,Software Engineer,non-ai,OTHER,2024-04,Maroc,indeed-ma,,,
job_indeed_ma_777e8bfa3a19f93d,Job,,Account Manager,non-ai,OTHER,2024-04,Maroc,indeed-ma,,,
job_indeed_ma_118d449f6af4d11c,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2024-11,Maroc,indeed-ma,,,
job_indeed_ma_1753c98e22bff061,Job,,Data Analyst,non-ai,DATA_ANALYST,2024-11,Maroc,indeed-ma,,,
job_indeed_ma_562f39e2af6f47d0,Job,,Data Analyst / BI,non-ai,DATA_ANALYST,2024-11,Maroc,indeed-ma,,,
job_indeed_ma_8203a7397aca8925,Job,,Data Analyst,non-ai,DATA_ANALYST,2024-11,Maroc,indeed-ma,,,
job_indeed_ma_ee37da12a893742a,Job,,Data Analyst,non-ai,DATA_ANALYST,2025-11,Maroc,indeed-ma,,,
job_indeed_ma_0127644ecc59ac37,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-02,Maroc,indeed-ma,,,
job_indeed_ma_231c1275728a94ec,Job,,Data Engineer,ml-first,DATA_ENGINEER,2026-02,Maroc,indeed-ma,,,
job_indeed_ma_4420bbbff2e8d6f7,Job,,Data Scientist (REF04),ml-first,DATA_SCIENTIST,2026-02,Maroc,indeed-ma,,,
job_indeed_ma_61e28c430da26761,Job,,Ingénieur D’État/ Data Analyst – Rabat,non-ai,DATA_ANALYST,2026-02,Maroc,indeed-ma,,,
job_indeed_ma_6f1c62a0e4261eab,Job,,Data Engineer,non-ai,DATA_ENGINEER,2026-02,Maroc,indeed-ma,,,
job_indeed_ma_7bc60091cb2e0e7f,Job,,Data Engineer,ai-first,DATA_ENGINEER,2026-02,Maroc,indeed-ma,,,
job_indeed_ma_aa3a50915f358ba9,Job,,Data Engineer,ml-first,DATA_ENGINEER,2026-02,Maroc,indeed-ma,,,
job_indeed_ma_bbda4bda05d2ba86,Job,,Data Analyst,non-ai,DATA_ANALYST,2026-02,Maroc,indeed-ma,,,
job_indeed_ma_c98ee706ef2f9e89,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-02,Maroc,indeed-ma,,,
job_indeed_ma_d8eb64c6a1752acf,Job,,Data Scientist,ml-first,DATA_SCIENTIST,2026-02,Maroc,indeed-ma,,,
job_indeed_ma_f052434b162d925d,Job,,Data Analyst (REF05),non-ai,DATA_ANALYST,2026-02,Maroc,indeed-ma,,,
